client,site,user,asset_id,Title,device_class,netbios_name,manufacturer,model,service_tag_serial_number,type,asset_id,asset_status,lan_ip,local_admin_username,local_admin_password,local_username,local_password,teamviewer_id,teamviewer_password,ex05_licence,ex05_recovery_key,vpn_server,vpn_domain,bios_password,patch_setting_1,patch_setting_2,patch_setting_3,patch_setting_4,av_installed,AV_Profile_Desktops,patch_installed,3rd_Party_Patching,patch_profile_desktops,msp_backup_schedule,local_speed_vault_unc,days,cpu,storage,ram,os_version,purchase_order_no,purchase_date,warranty_description,warranty_reference,purchase_price,purchase_supplier,warranty_expiry,warrranty_registration,wan_ip,local_speed_vault,guru_backup_schedule,guru_backup_manager,guru_patch_manager,guru_security_manager,guru_remote,agent_type,guru_agent,net_extender_domain,net_extender_vpn_url,cgss_expiry,cgss_subscription,username,admin_url,tpm_chip,_wp_old_slug,archiving,file_and_folder,system_state,exchange,ms_sql,netork_shares,date_purchased,hyper_v,vmware,vdr_select,serial_no,serial_number,asset_date_purchased,password,ex05_license,notes,nmc_agent,av_quick_scan,backup_scores,os_installation,mac_address,screen_saver_password,asset_domain,account_type,encryption_delopyed,ex05_pin,boot_Sectory_lock_password_exo5,server_type,filewault_recovery_key,nmc_license_type,pro_license,el_3rd_party_patching,av_full_scan,ex05_recovery_pin,patch_profile_desktop,ssh_username,whm_admin,ssh_port,ssh_password,av_profile_laptop,patch_profile_laptop,server_purpose,in_a_cluser,ns1,ns2,ns3,ns4,host_name,backup_source,unique_id,_wp_page_template,in_a_cluster,av_profile_laptops,patch_profile_Laptops,filevault_recovery_key
863,865,869,871,"laptop-windows for 863 with Asset ID: 1",laptop-windows,MYNE-WIN10-002,Dell,"XPS 89000",FS7BC72,,1,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-863-with-asset-id-0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,default,,,,
863,865,885,887,"laptop-windows for 863 with Asset ID: 733",laptop-windows,MYNE-WIN10-003,Dell,"Vostro 3554",j75tg7,,733,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-863-with-asset-id-0733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,default,,,,
901,903,905,907,"workstation-windows for 901 with Asset ID: Asset id",workstation-windows,Netbios,Manufacturer,Model,"Service tag",,"Asset id",Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,default,,,,
913,915,917,919,"laptop-windows for 913 with Asset ID: 264",laptop-windows,readwin10-009,HP,"250 G6 Notebook",CND7393VSF,,264,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-913-with-asset-id-0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,default,,,,
1022,1026,1028,1037,"laptop-windows for 1022 with Asset ID: N/A",laptop-windows,Ali-PC,FUJITSU,"LIFEBOOK A544",YLUA102952,,N/A,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,default,,,,
1022,1026,1028,1041,"workstation-windows for 1022 with Asset ID: N/A",workstation-windows,FBSWIN10-001,Dell,"OptiPlex 3040",HQ5QJG2,,N/A,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,default,,,,
34,1247,1286,1291,"laptop-windows for 34 with Asset ID: 1",laptop-windows,SSWIN10-010,"Dell Inc.","Latitude 7480",00330-50671-78347-AAOEM,,1,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,default,,,,
34,1247,1287,1292,"laptop-windows for 34 with Asset ID: 3",laptop-windows,SSWIN10-002,"Dell Inc.","XPS 13 9350",00330-50024-92550-AAOEM,,3,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,default,,,,
34,1247,1288,1293,"laptop-mac for 34 with Asset ID: 9",laptop-mac,Richs-MacBook-Pro.local,"Apple Computer, Inc.","MacBookPro11,4",C02QK8YWG8WN,,9,Active,,,,,,,,,,,,,,,,,,,,,,,,,test,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,default,,,,
1336,1374,1401,1403,"laptop-windows for 1336 with Asset ID: 206",laptop-windows,DMSWIN10-019,Dell,"Latitude E5470",9MJFPF2,,206,Active,,,@Dms01#l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-1336-with-asset-id-0206,,,,,,,,,,,,sslocal,29/03/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,default,,,,
1340,1399,1405,1419,"laptop-windows for 1340 with Asset ID: N/A",laptop-windows,"Alyson (Warehouse)",Dell,"Latitude 3550",FGL1X32,,N/A,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,default,,,,
1344,1362,1429,1431,"laptop-windows for 1344 with Asset ID: 394",laptop-windows,MYNEWIN10-004,Windows,"Surface Book 2",N/A,,394,Active,,,@Myne01#l,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,822776647,,,laptop-windows-for-1344-with-asset-id-0394,,,,,,,,,,,,sslocal,03/04/2018,@Myne01#t|@Myne01#t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,default,,,,
1331,1369,1801,2037,"laptop-windows for 1331 with Asset ID: 397",laptop-windows,ADIWIN10-019,Dell,"Latitude 5480",CVBZMF2,,397,Active,,,,,gfsf,,,Yes,056485-274681-589820-187836-611226-713130-193985-004664,,,,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,2,laptop-windows-for-1331-with-asset-id-0397,,,,,,,,,,,,,22/06/2018,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,default,,,,
1331,1369,1816,2382,"workstation-windows for 1331 with Asset ID:",workstation-windows,ADIWIN10-DEV01,,,,,,,192.168.30.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workstation-windows-with-asset-id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,default,,,,
1331,1369,1816,2383,"workstation-windows for 1331 with Asset ID:",workstation-windows,ADIWIN10-DEV02,,,,,,,192.168.30.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workstation-windows-with-asset-id-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,default,,,,
1331,1369,1816,2384,"workstation-windows for 1331 with Asset ID:",workstation-windows,ADIWIN10-DEV03,,,,,,,192.168.30.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workstation-windows-with-asset-id-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,default,,,,
1331,1369,1816,2385,"workstation-windows for 1331 with Asset ID:",workstation-windows,ADIWIN10-DEV04,,,,,,,192.168.30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workstation-windows-with-asset-id-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,default,,,,
1331,1369,1816,2386,"server for 1331 with Asset ID:",server,ADI2K12-PROD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,default,,,,
1331,1369,1816,2387,"workstation-windows for 1331 with Asset ID:",workstation-windows,KITCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workstation-windows-with-asset-id-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,default,,,,
1331,1369,1816,2388,"workstation-windows for 1331 with Asset ID:",workstation-windows,ADI008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,workstation-windows-with-asset-id-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,default,,,,
1331,1369,1800,2389,"workstation-windows for 1331 with Asset ID:",workstation-windows,ACCOUNTS001,,,N/A,,,Live,192.168.1.66,,,nmagson,Sub1aru,228658937,"739kcc or Jester01",,N/A,,,N/A,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Proffessional,,,,,,,,,workstation-windows-with-asset-id-7,,,,,,,,,,,,,,,,,Yes,,,,,N/A,Local,"Local Device Account",N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,31,default,,,,
1331,1369,1816,2390,"peripheral for 1331 with Asset ID:",peripheral,GOFLEX_HOME,,,,,,Live,192.168.1.11,,,nmagson,Sub1aru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peripheral-with-asset-id,,,,,,,,,,,,,,,,,,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,32,default,,,,
1331,1369,1800,2391,"workstation-windows for 1331 with Asset ID:",workstation-windows,NIGELACOT01,,,,,,Live,192.168.1.72,,,nmagson,Sub1aru,,,,,,,,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Proffessional,,,,,,,,,workstation-windows-with-asset-id-8,,,,,,,,,,,,,,,,,Yes,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,33,default,,,,
1331,1369,1816,2392,"Firewall for 1331 with Asset ID:",Firewall,TZ300,,,,,,Live,192.168.30.254,admin,@Jester01#f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proffessional,,,,,,,,,router-with-asset-id,,,,,,,,,,,,,,,,"Router PW = FEPK979E",Yes,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,34,default,,,,
1331,1369,1816,2393,"firewall for 1331 with Asset ID:",firewall,,,,,,,Live,https://portal.weareselect.uk/20,,,admin,d7YQHs3BFLclmwwi4Ytt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firewall-with-asset-id,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,35,default,,,,
1331,1369,1816,2394,"server for 1331 with Asset ID:",server,SqlVPS03,,,,,,Live,212.113.207.149,,,Administrator,8ruST@B&7SaDe@5r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id-2,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,36,default,,,,
1331,1369,1816,2395,"server for 1331 with Asset ID:",server,WebVPS03,,,,,,Live,212.113.207.148,,,Administrator,P&a2up-Q@vUWRupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id-3,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,Virtual,,,,,,,,,,,,,,,,,,,,,,37,default,,,,
1331,1369,1816,2396,"server for 1331 with Asset ID:",server,DBVPS02,,,,,,Live,212.113.194.162,,,Administrator,Ry*4nBbyHe3u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id-4,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,38,default,,,,
1331,1369,1816,2397,"server for 1331 with Asset ID:",server,WebVPS02,,,,,,Live,212.113.209.219,,,Administrator,Li%6gUsaJu0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id-5,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,39,default,,,,
1331,1369,1816,2398,"server for 1331 with Asset ID:",server,SQLVPS02,,,,,,Live,212.113.194.164,,,Administrator,PraC5udReweHaSte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id-6,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,40,default,,,,
1331,1369,1816,2399,"server for 1331 with Asset ID:",server,WEBVPS02,,,,,,Live,212.113.209.220,,,Administrator,fReHesPeNuWra5aP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,server-with-asset-id-7,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,41,default,,,,
1331,1369,1816,2400,"server for 1331 with Asset ID:",server,ADI2k16-HOST01,,,,,,Live,192.168.30.12,,,Administrator,@Adi01#l,406957222,@Adi01#t,,,vpn.insight.com:4433,,,,,,,,,,,,,,,,,,"Windows Server 2016 Standard",,,,,,,,,,,,,,,,Proffessional,,,,,,,,,server-with-asset-id-8,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,42,default,,,,
1331,1369,1803,2401,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI-WIN10-01,Dell,"XPS 13 9350",,,,Live,,ssAdmin,@Jester01#a,,,,,,253231-517198-460768-635668-364452-443839-449977-002343,vpn.insight.com:4433,,Check-5-Data,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Proffessional,,,,,,,,,laptop-windows-with-asset-id-252,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",Yes,9328989690,JnKxvKjp,,,,,,,,,,,,,,,,,,,,,,,43,default,,,,
1331,1369,1816,2402,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI006,Dell,"Latitude E5640",,,,Noo,,ss_admin,Jester01,,,210263673,@Jester01,,,vpn.insight.com:4433,,M3rl1n1066,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Essentials,,,,,,,,,laptop-windows-with-asset-id-194,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only","not compatible",,,,,,,,,,,,,,,,,,,,,,,,,44,default,,,,
1331,1369,1801,2403,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI009,HP,"ProBook 6550b",,,,Noo,,,,,,930481041,Jester01,,,vpn.insight.com:4433,,,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Proffessional,,,,,,,,NO,laptop-windows-with-asset-id-254,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",tbc,,,,,,,,,,,,,,,,,,,,,,,,,45,default,,,,
1331,1369,1804,2404,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADIWIN10-011,Dell,"Precision 3520",2488ZF2,,,Live,N/A,sslocal,@Adi01#l,,,211404830,@Adi01#t,,310849-019855-059807-172854-246730-602503-508651-298232,vpn.insight.com:4433,,Kitkat7436,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Proffessional,,,,,,,,,laptop-windows-with-asset-id-244,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",,4591056874,,,,,,,,,,,,,,,,,,,,,,,,46,default,,,,
1331,1369,1816,2405,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI011,Lenovo,20C60046UK,,,,Noo,n/a,sslocal,@Adi01#l,,,822181005,@Jester01#a,,020570-415382-534831-469722-453189-409475-210320-441298,vpn.insight.com:4433,,Disney25,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Essentials,,,,,,,,1,laptop-windows-with-asset-id-247,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",Yes,2804735156,cTDHCVFD,,,,,,,,,,,,,,,,,,,,,,,47,default,,,,
1331,1369,1816,2406,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI012,,,N/A,,,Live,N/A,sslocal,@Adi01#l,Tristan,Tuesday19,912794790,@Adi01#t,,,vpn.insight.com:4433,,T1gger2017,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,N/A,,,,,Essentials,,,,N/A,,,,N/A,laptop-windows-with-asset-id-196,,,,,,,,,,,,,,,,N/A,Yes,,,,,N/A,Local,"Local Device Account",NO,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,48,default,,,,
1331,1369,1816,2407,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI013,,,N/A,,,Noo,N/A,sslocal,@Adi01#l,,,758779006,@Adi01#t,,269918-528495-556193-473748-578842-501765-416515-216425,vpn.insight.com:4433,,N/A,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,N/A,,,,,Essentials,,,,N/A,,,,N/A,laptop-windows-with-asset-id-195,,,,,,,,,,,,,,,,N/A,Yes,,,,,N/A,Local,"Local Device Account",Yes,8178171016,N/A,,,,,,,,,,,,,,,,,,,,,,,49,default,,,,
1331,1369,1805,2408,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADIWIN10-006,,,8KS31G2,,,Live,N/A,sslocal,@adi01#l,,,600497116,@adi01#t,,525547-571340-335808-013112-299475-368555-578996-705243,vpn.insight.com:4433,,T1gger2017,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,N/A,,,,,Proffessional,,,,N/A,,,,N/A,laptop-windows-with-asset-id-250,,,,,,,,,,,,,,,,N/A,Yes,,,,,N/A,Adroit.local,"Active Directory on-premise only",Yes,8322891266,N/A,,,,,,,,,,,,,,,,,,,,,,,50,default,,,,
1331,1369,1808,2409,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI014,,,,,,Live,,,,,,,,,564916-371305-263681-097449-368709-500720-350955-513579,vpn.insight.com:4433,,Harlequin1224,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,NO,laptop-windows-with-asset-id-246,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",Yes,4700930111,EdrkEjfS,,,,,,,,,,,,,,,,,,,,,,,51,default,,,,
1331,1369,1809,2410,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI016,,,,,,Live,192.168.30.81,,,,,,,,413952-001870-490776-329714-139359-002332-170291-554884,vpn.insight.com:4433,,Hereford1984,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,1.2,laptop-windows-with-asset-id-251,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",Yes,5030286880,PcXNEknG,,,,,,,,,,,,,,,,,,,,,,,52,default,,,,
1331,1369,1801,2411,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADIWIN10-004,,,,,,Live,,sslocal,@adi01#l,,,198108799,@adi01#t,,,vpn.insight.com:4434,,Boris2599,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-with-asset-id-193,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,,,,,,,,,,,,,53,default,,,,
1331,1369,1801,2412,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADIWIN10-019,,,,,,,,sslocal,@adi01#l,,,,,,,vpn.insight.com:4434,,Boris2599,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,Proffessional,,,,,,,,2,laptop-windows-with-asset-id,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,default,,,,
1331,1369,1807,2413,"laptop-windows for 1331 with Asset ID:",laptop-windows,ADI017,,,,,,Live,192.168.30.84,,,,,,,,561286-341869-370051-406263-498234-172425-082357-461516,vpn.insight.com:4433,,Phoen1x,,,,,,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,1.2,laptop-windows-with-asset-id-245,,,,,,,,,,,,,,,,,Yes,,,,,,Adroit.local,"Active Directory on-premise only",Yes,955402954,KCpUGxBR,,,,,,,,,,,,,,,,,,,,,,,55,default,,,,
