client,site,user,ID,device_class,Title,netbios_name,manufacturer,model,service_tag_serial_number,tpm_chip,lan_ip,admin_url,username,teamviewer_id,ex05_licence,ex05_recovery_key,cgss_subscription,cgss_expiry,net_extender_vpn_url,net_extender_domain,wan_ip,guru_agent,agent_type,guru_remote,guru_security_manager,guru_patch_manager,patch_setting_1,patch_setting_2,patch_setting_3,patch_setting_4,guru_backup_manager,msp_backup_schedule,local_speed_vault,local_speed_vault_unc,days,archiving,file_and_folder,system_state,exchange,asset_status,ms_sql,network_shares,date_purchased,hyper_v,vmware,vdr_select,asset_id,_wp_page_template,serial_no,serial_number,cpu,storage,ram,asset_date_purchased,local_admin_password,os_version,password,ex05_license,tpn_chip,local_password,notes,nmc_agent,av_quick_scan,backup_scores,os_installation,vpn_domain,vpn_server,mac_address,teamviewer_password,warranty_expiry_date,purchase_order_no,local_username,bios_password,screen_saver_password,asset_domain,account_type,encryption_deployed,ex05_pin,boot_sector_lock_password_exo5,local_admin_username,purchase_price,purchase_supplier,server_type,filevault_recovery_key,nmc_license_type,pro_license,3rd_Party_Patching,patch_installed,3rd_Party_Profile,av_installed,AV_Profile_Desktops,av_full_scan,ex05_recovery_pin,patch_profile_desktops,ssh_username,whm_admin,ssh_port,ssh_password,purchase_date,av_profile_laptops,patch_profile_Laptops,server_purpose,in_a_cluster,ns1,ns3,ns2,ns4,host_name,backup_source,warranty_description,warranty_expiry
863,865,869,871,laptop-windows,"laptop-windows for 863 with asset ID: 0284",MYNE-WIN10-002,Dell,"XPS 89000",FS7BC72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,865,885,887,laptop-windows,"laptop-windows for 863 with asset ID: 0733",MYNE-WIN10-003,Dell,"Vostro 3554",j75tg7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,903,905,907,workstation-windows,"workstation-windows for 901 with asset ID: Asset id",Netbios,Manufacturer,Model,"Service tag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,"Asset id",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,915,917,919,laptop-windows,"laptop-windows for 913 with asset ID: 0264",readwin10-009,HP,"250 G6 Notebook",CND7393VSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,1026,1028,1037,laptop-windows,"laptop-windows for 1022 with asset ID: N/A",Ali-PC,FUJITSU,"LIFEBOOK A544",YLUA102952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,1026,1028,1041,workstation-windows,"workstation-windows for 1022 with asset ID: N/A",FBSWIN10-001,Dell,"OptiPlex 3040",HQ5QJG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1247,1286,1291,laptop-windows,"Laptop - Windows",SSWIN10-010,"Dell Inc.","Latitude 7480",00330-50671-78347-AAOEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0001,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1247,1287,1292,laptop-windows,"Laptop - Windows",SSWIN10-002,"Dell Inc.","XPS 13 9350",00330-50024-92550-AAOEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0003,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1247,1288,1293,laptop-mac,"Laptop - MAC",Richs-MacBook-Pro.local,"Apple Computer, Inc.","MacBookPro11,4",C02QK8YWG8WN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0009,default,,,test,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,1374,1401,1403,laptop-windows,"laptop-windows for 1336 with asset ID: 0206",DMSWIN10-012,Dell,"Latitude E5470",9MJFPF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0206,,,sslocal,,,,29/03/2018,@Dms01#l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,1399,1405,1419,laptop-windows,"laptop-windows for 1340 with asset ID: N/A","Alyson (Warehouse)",Dell,"Latitude 3550",FGL1X32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,1362,1429,1431,laptop-windows,"laptop-windows for 1344 with asset ID: 0394",MYNEWIN10-004,"Windows ","Surface Book 2",N/A,,,,822776647,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0394,,,sslocal,,,,03/04/2018,@Myne01#l,"Windows 10 Pro",@Myne01#t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1801,2037,laptop-windows,"laptop-windows for 1331 with asset ID: 0397",ADIWIN10-019,Dell,"Latitude 5480",CVBZMF2,,,,,,,056485-274681-589820-187836-611226-713130-193985-004664,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0397,,,,,,,22/06/2018,,"Windows 10 Pro",,Yes,2.0,gfsf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2382,workstation-windows,"workstation-windows with Asset ID:",ADIWIN10-DEV01,,,,,192.168.30.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2383,workstation-windows,"workstation-windows with Asset ID:",ADIWIN10-DEV02,,,,,192.168.30.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2384,workstation-windows,"workstation-windows with Asset ID:",ADIWIN10-DEV03,,,,,192.168.30.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2385,workstation-windows,"workstation-windows with Asset ID:",ADIWIN10-DEV04,,,,,192.168.30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2386,server,"server with Asset ID:",ADI2K12-PROD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2387,workstation-windows,"workstation-windows with Asset ID:",KITCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2388,workstation-windows,"workstation-windows with Asset ID:",ADI008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1800,2389,workstation-windows,"workstation-windows with Asset ID:",ACCOUNTS001,,,N/A,,192.168.1.66,,,228658937,,N/A,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,,Sub1aru,,Yes,,,,,,,"739kcc or Jester01",,,nmagson,N/A,N/A,Local,"Local Device Account",N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2390,peripheral,"peripheral with Asset ID:",GOFLEX_HOME,,,,,192.168.1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,Sub1aru,,,,,,,,,,,,nmagson,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1800,2391,workstation-windows,"workstation-windows with Asset ID:",NIGELACOT01,,,,,192.168.1.72,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,,Sub1aru,,Yes,,,,,,,,,,nmagson,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2392,Firewall,"router with Asset ID:",TZ300,,,,,192.168.30.254,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,@Jester01#f,,,,,,"Router PW = FEPK979E",Yes,,,,,,,,,,,,,Local,"Local Device Account",,,,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2393,firewall,"firewall with Asset ID:",,,,,,https://portal.weareselect.uk/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,d7YQHs3BFLclmwwi4Ytt,"Admin account PW set to never expire",,,,,,,,,,,admin,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2394,server,"server with Asset ID:",SqlVPS03,,,,,212.113.207.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,8ruST@B&7SaDe@5r,"Admin account PW set to never expire",,,,,,,,,,,Administrator,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2395,server,"server with Asset ID:",WebVPS03,,,,,212.113.207.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,P&a2up-Q@vUWRupa,"Admin account PW set to never expire",,,,,,,,,,,Administrator,,,Local,"Local Device Account",,,,,,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2396,server,"server with Asset ID:",DBVPS02,,,,,212.113.194.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,Ry*4nBbyHe3u,"Admin account PW set to never expire",,,,,,,,,,,Administrator,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2397,server,"server with Asset ID:",WebVPS02,,,,,212.113.209.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,Li%6gUsaJu0a,"Admin account PW set to never expire",,,,,,,,,,,Administrator,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2398,server,"server with Asset ID:",SQLVPS02,,,,,212.113.194.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,PraC5udReweHaSte,"Admin account PW set to never expire",,,,,,,,,,,Administrator,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2399,server,"server with Asset ID:",WEBVPS02,,,,,212.113.209.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,fReHesPeNuWra5aP,"Admin account PW set to never expire",,,,,,,,,,,Administrator,,,Local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2400,server,"server with Asset ID:",ADI2k16-HOST01,,,,,192.168.30.12,,,406957222,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows Server 2016 Standard",,,,@Adi01#l,,Yes,,,,adroit.local,vpn.insight.com:4433,,@Adi01#t,,,Administrator,,,Adroit.local,"Local Device Account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1803,2401,laptop-windows,"laptop-windows with Asset ID: 252",ADI-WIN10-01,Dell,"XPS 13 9350",,,,,,,,253231-517198-460768-635668-364452-443839-449977-002343,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,@Jester01#a,"Windows 10 Pro",,,,,,Yes,,,,adroit.local,vpn.insight.com:4433,,,,,,Check-5-Data,,Adroit.local,"Active Directory on-premise only",Yes,9328989690,JnKxvKjp,ssAdmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2402,laptop-windows,"laptop-windows with Asset ID: 194",ADI006,Dell,"Latitude E5640",,,,,,210263673,,,,,,,,,Essentials,,,,,,,,,,,,,,,,,Noo,,,,,,,,default,,,,,,,Jester01,"Windows 10 Pro",,,,,,Yes,,,,adroit.local,vpn.insight.com:4433,,@Jester01,,,,M3rl1n1066,,Adroit.local,"Active Directory on-premise only","not compatible",,,ss_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1801,2403,laptop-windows,"laptop-windows with Asset ID: 254",ADI009,HP,"ProBook 6550b",,,,,,930481041,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Noo,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,NO,,,Yes,,,,adroit.local,vpn.insight.com:4433,,Jester01,,,,,,Adroit.local,"Active Directory on-premise only",tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1804,2404,laptop-windows,"laptop-windows with Asset ID: 244",ADIWIN10-011,Dell,"Precision 3520",2488ZF2,,N/A,,,211404830,,310849-019855-059807-172854-246730-602503-508651-298232,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,@Adi01#l,"Windows 10 Pro",,,,,,Yes,,,,adroit.local,vpn.insight.com:4433,,@Adi01#t,,,,Kitkat7436,,Adroit.local,"Active Directory on-premise only",,4591056874,,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2405,laptop-windows,"laptop-windows with Asset ID: 247",ADI011,Lenovo,20C60046UK,,,n/a,,,822181005,,020570-415382-534831-469722-453189-409475-210320-441298,,,,,,,Essentials,,,,,,,,,,,,,,,,,Noo,,,,,,,,default,,,,,,,@Adi01#l,"Windows 10 Pro",,,1,,,Yes,,,,adroit.local,vpn.insight.com:4433,,@Jester01#a,,,,Disney25,,Adroit.local,"Active Directory on-premise only",Yes,2804735156,cTDHCVFD,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2406,laptop-windows,"laptop-windows with Asset ID: 196",ADI012,,,N/A,,N/A,,,912794790,,,,N/A,,,,,Essentials,,,,,,,,,N/A,,,,,,,,Live,,,,,,,,default,,,,,,,@Adi01#l,"Windows 10 Pro",,,N/A,Tuesday19,N/A,Yes,,,,adroit.local,vpn.insight.com:4433,,@Adi01#t,,,Tristan,T1gger2017,N/A,Local,"Local Device Account",NO,N/A,N/A,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2407,laptop-windows,"laptop-windows with Asset ID: 195",ADI013,,,N/A,,N/A,,,758779006,,269918-528495-556193-473748-578842-501765-416515-216425,,N/A,,,,,Essentials,,,,,,,,,N/A,,,,,,,,Noo,,,,,,,,default,,,,,,,@Adi01#l,"Windows 10 Pro",,,N/A,,N/A,Yes,,,,adroit.local,vpn.insight.com:4433,,@Adi01#t,,,,N/A,N/A,Local,"Local Device Account",Yes,8178171016,N/A,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1805,2408,laptop-windows,"laptop-windows with Asset ID: 250",ADIWIN10-006,,,8KS31G2,,N/A,,,600497116,,525547-571340-335808-013112-299475-368555-578996-705243,,N/A,,,,,Proffessional,,,,,,,,,N/A,,,,,,,,Live,,,,,,,,default,,,,,,,@adi01#l,"Windows 10 Pro",,,N/A,,N/A,Yes,,,,adroit.local,vpn.insight.com:4433,,@adi01#t,,,,T1gger2017,N/A,Adroit.local,"Active Directory on-premise only",Yes,8322891266,N/A,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1808,2409,laptop-windows,"laptop-windows with Asset ID: 246",ADI014,,,,,,,,,,564916-371305-263681-097449-368709-500720-350955-513579,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,NO,,,Yes,,,,adroit.local,vpn.insight.com:4433,,,,,,Harlequin1224,,Adroit.local,"Active Directory on-premise only",Yes,4700930111,EdrkEjfS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1809,2410,laptop-windows,"laptop-windows with Asset ID: 251",ADI016,,,,,192.168.30.81,,,,,413952-001870-490776-329714-139359-002332-170291-554884,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,1.2,,,Yes,,,,adroit.local,vpn.insight.com:4433,,,,,,Hereford1984,,Adroit.local,"Active Directory on-premise only",Yes,5030286880,PcXNEknG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1801,2411,laptop-windows,"laptop-windows with Asset ID: 193",ADIWIN10-004,,,,,,,,198108799,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,@adi01#l,"Windows 10 Pro",,,,,,Yes,,,,adroit.local,vpn.insight.com:4434,,@adi01#t,,,,Boris2599,,Adroit.local,"Active Directory on-premise only",,,,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1801,2412,laptop-windows,"laptop-windows with Asset ID:",ADIWIN10-019,,,,,,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,@adi01#l,"Windows 10 Pro",,,2,,,Yes,,,,adroit.local,vpn.insight.com:4434,,,,,,Boris2599,,,,,,,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1807,2413,laptop-windows,"laptop-windows with Asset ID: 245",ADI017,,,,,192.168.30.84,,,,,561286-341869-370051-406263-498234-172425-082357-461516,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,1.2,,,Yes,,,,adroit.local,vpn.insight.com:4433,,,,,,Phoen1x,,Adroit.local,"Active Directory on-premise only",Yes,955402954,KCpUGxBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1802,2414,laptop-windows,"laptop-windows with Asset ID: 255",ADI018,,,,,,,,,,633182-369281-309628-205854-061765-326546-392832-318934,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows 10 Pro",,,Yes,,,Yes,,,,adroit.local,vpn.insight.com:4433,,,,,,N0tquite57&,,Adroit.local,"Active Directory on-premise only",Yes,1852409038,fpjPDfNj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2415,firewall,"firewall with Asset ID:",0017C5AF7B28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noo,,,,,,,,default,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2416,firewall,"firewall with Asset ID:",18B16971F004,,,Dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2417,server,"server with Asset ID:",ADI2K12-BACKUP,,,,,192.168.30.15,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows Server 2012 R2",,,,,,Yes,,,,,,,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2418,server,"server with Asset ID:",ADI2K12-PROD01,,,,,192.168.30.14,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows Server 2012 R2",,,,,,Yes,,,,,,,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1800,2419,laptop-windows,"laptop-windows with Asset ID: 256",ADIWIN10-003,,,,,,,,327925495,,008910-560307-620389-463067-708884-235741-084447-630949,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,Jester01,"Windows 10 Pro",,,2,Sub1aru,,Yes,,,,adroit.local,vpn.insight.com:4433,,@Jester01,,,,Sub1aru,,Adroit.local,"Active Directory on-premise only",Yes,69853075,ecbFhnVT,ss_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2420,workstation-windows,"workstation-windows with Asset ID:",ADIWIN10-009,,,,,,,,633341837,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,@Adi01#l,"Windows 10 Pro",,,,,,Yes,,,,adroit.local,vpn.insight.com:4433,,@adi01#t,,,,,,Adroit.local,"Active Directory on-premise only",,,,sslocal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2421,printer,"printer with Asset ID:",,,,,,192.168.30.11,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,N/A,,,,N/A,,Yes,,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1369,1816,2422,server,"server with Asset ID:",DOMAIN001,,,,,192.168.30.10,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,default,,,,,,,,"Windows Server 2008 R2",,,,,,Yes,,,,,,,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
