site,user,Title,id,device_class,netbios_name,manufacturer,model,service_tag_serial_number,tpm_chip,lan_ip,admin_url,username,teamviewer_id,ex05_licence,ex05_recovery_key,cgss_subscription,cgss_expiry,net_extender_vpn_url,net_extender_domain,wan_ip,guru_agent,agent_type,guru_remote,guru_security_manager,guru_patch_manager,patch_setting_1,patch_setting_2,patch_setting_3,patch_setting_4,guru_backup_manager,msp_backup_schedule,local_speed_vault,local_speed_vault_unc,days,archiving,file_and_folder,system_state,exchange,asset_status,ms_sql,network_shares,date_purchased,hyper_v,vmware,vdr_select,asset_id,serial_no,serial_number,asset_date_purchased,local_admin_password,os_version,password,ex05_license,tpn_chip,notes,nmc_agent,av_quick_scan,backup_scores,os_installation,vpn_domain,vpn_server,mac_address,teamviewer_password,warranty_expiry_date,purchase_order_no,local_username,local_password,bios_password,screen_saver_password,asset_domain,account_type,encryption_deployed,ex05_pin,boot_sector_lock_password_exo5,local_admin_username,ram,purchase_price,purchase_supplier,username_password_description,physical_cloud,server_host_name,teamvieiwer_password,server_others,description,av_installed
903,905,"workstation-windows for 901 with Asset ID: Asset id",907,workstation-windows,Netbios,Manufacturer,Model,"Service tag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,"Asset id",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,917,"laptop-windows for 913 with Asset ID: 264",919,laptop-windows,readwin10-009,HP,"250 G6 Notebook",CND7393VSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,1028,"laptop-windows for 1022 with Asset ID: N/A",1037,laptop-windows,Ali-PC,FUJITSU,"LIFEBOOK A544",YLUA102952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,1028,"workstation-windows for 1022 with Asset ID: N/A",1041,workstation-windows,FBSWIN10-001,Dell,"OptiPlex 3040",HQ5QJG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1286,"laptop-windows for 34 with Asset ID: 1",1291,laptop-windows,SSWIN10-010,"Dell Inc.","Latitude 7480",00330-50671-78347-AAOEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1287,"laptop-windows for 34 with Asset ID: 3",1292,laptop-windows,SSWIN10-002,"Dell Inc.","XPS 13 9350",00330-50024-92550-AAOEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1288,"laptop-mac for 34 with Asset ID: 9",1293,laptop-mac,Richs-MacBook-Pro.local,"Apple Computer, Inc.","MacBookPro11,4",C02QK8YWG8WN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,,,,,,,,,
1374,1401,"laptop-windows for 1336 with Asset ID: 206",1403,laptop-windows,DMSWIN10-019,Dell,"Latitude E5470",9MJFPF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,206,,sslocal,29/03/2018,@Dms01#l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,1405,"laptop-windows for 1340 with Asset ID: N/A",1419,laptop-windows,"Alyson (Warehouse)",Dell,"Latitude 3550",FGL1X32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,1429,"laptop-windows for 1344 with Asset ID: 394",1431,laptop-windows,MYNEWIN10-004,Windows,"Surface Book 2",N/A,,,,822776647,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,394,,sslocal,03/04/2018,@Myne01#l,"Windows 10 Pro",@Myne01#t|@Myne01#t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1801,"laptop-windows for 1331 with Asset ID: 397",2037,laptop-windows,ADIWIN10-019,Dell,"Latitude 5480",CVBZMF2,2,,,,,Yes,056485-274681-589820-187836-611226-713130-193985-004664,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,397,,,22/06/2018,,"Windows 10 Pro",,Yes,,,,,,,,,,,,,,gfsf,,,,,,,,,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2382,workstation-windows,ADIWIN10-DEV01,,,,,192.168.30.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2383,workstation-windows,ADIWIN10-DEV02,,,,,192.168.30.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2384,workstation-windows,ADIWIN10-DEV03,,,,,192.168.30.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2385,workstation-windows,ADIWIN10-DEV04,,,,,192.168.30.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2386,server,ADI2K12-PROD02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2387,workstation-windows,KITCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2388,workstation-windows,ADI008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1800,"workstation-windows for 1331 with Asset ID:",2389,workstation-windows,ACCOUNTS001,,,N/A,,192.168.1.66,,,228658937,,N/A,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,,,"739kcc or Jester01",,,nmagson,Sub1aru,N/A,N/A,Local,"Local Device Account",,N/A,,,,,,,,,,,,
1369,1816,"peripheral for 1331 with Asset ID:",2390,peripheral,GOFLEX_HOME,,,,,192.168.1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,,,,,,,,,,,,nmagson,Sub1aru,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1800,"workstation-windows for 1331 with Asset ID:",2391,workstation-windows,NIGELACOT01,,,,,192.168.1.72,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,,,,,,nmagson,Sub1aru,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"Firewall for 1331 with Asset ID:",2392,Firewall,TZ300,,,,,192.168.30.254,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@Jester01#f,,,,,"Router PW = FEPK979E",Yes,,,,,,,,,,,,,,Local,"Local Device Account",,,,admin,,,,,,,,,,
1369,1816,"firewall for 1331 with Asset ID:",2393,firewall,,,,,,https://portal.weareselect.uk/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,admin,d7YQHs3BFLclmwwi4Ytt,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2394,server,SqlVPS03,,,,,212.113.207.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,Administrator,8ruST@B&7SaDe@5r,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2395,server,WebVPS03,,,,,212.113.207.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,Administrator,P&a2up-Q@vUWRupa,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2396,server,DBVPS02,,,,,212.113.194.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,Administrator,Ry*4nBbyHe3u,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2397,server,WebVPS02,,,,,212.113.209.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,Administrator,Li%6gUsaJu0a,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2398,server,SQLVPS02,,,,,212.113.194.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,Administrator,PraC5udReweHaSte,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2399,server,WEBVPS02,,,,,212.113.209.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,"Admin account PW set to never expire",,,,,,,,,,,Administrator,fReHesPeNuWra5aP,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2400,server,ADI2k16-HOST01,,,,,192.168.30.12,,,406957222,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows Server 2016 Standard",,,,,Yes,,,,,vpn.insight.com:4433,,@Adi01#t,,,Administrator,@Adi01#l,,,Adroit.local,"Local Device Account",,,,,,,,,,,,,,
1369,1803,"laptop-windows for 1331 with Asset ID:",2401,laptop-windows,ADI-WIN10-01,Dell,"XPS 13 9350",,,,,,,,253231-517198-460768-635668-364452-443839-449977-002343,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@Jester01#a,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,,,,,,Check-5-Data,,Adroit.local,"Active Directory on-premise only",,9328989690,,ssAdmin,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2402,laptop-windows,ADI006,Dell,"Latitude E5640",,,,,,210263673,,,,,,,,,Essentials,,,,,,,,,,,,,,,,,Noo,,,,,,,,,,,Jester01,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,@Jester01,,,,,M3rl1n1066,,Adroit.local,"Active Directory on-premise only",,,,ss_admin,,,,,,,,,,
1369,1801,"laptop-windows for 1331 with Asset ID:",2403,laptop-windows,ADI009,HP,"ProBook 6550b",,NO,,,,930481041,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Noo,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,Jester01,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,
1369,1804,"laptop-windows for 1331 with Asset ID:",2404,laptop-windows,ADIWIN10-011,Dell,"Precision 3520",2488ZF2,,N/A,,,211404830,,310849-019855-059807-172854-246730-602503-508651-298232,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@Adi01#l,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,@Adi01#t,,,,,Kitkat7436,,Adroit.local,"Active Directory on-premise only",,4591056874,,sslocal,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2405,laptop-windows,ADI011,Lenovo,20C60046UK,,1,n/a,,,822181005,,020570-415382-534831-469722-453189-409475-210320-441298,,,,,,,Essentials,,,,,,,,,,,,,,,,,Noo,,,,,,,,,,,@Adi01#l,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,@Jester01#a,,,,,Disney25,,Adroit.local,"Active Directory on-premise only",,2804735156,,sslocal,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2406,laptop-windows,ADI012,,,N/A,N/A,N/A,,,912794790,,,,N/A,,,,,Essentials,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@Adi01#l,"Windows 10 Pro",,,,N/A,Yes,,,,,vpn.insight.com:4433,,@Adi01#t,,,Tristan,Tuesday19,T1gger2017,N/A,Local,"Local Device Account",,N/A,,sslocal,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2407,laptop-windows,ADI013,,,N/A,N/A,N/A,,,758779006,,269918-528495-556193-473748-578842-501765-416515-216425,,N/A,,,,,Essentials,,,,,,,,,,,,,,,,,Noo,,,,,,,,,,,@Adi01#l,"Windows 10 Pro",,,,N/A,Yes,,,,,vpn.insight.com:4433,,@Adi01#t,,,,,N/A,N/A,Local,"Local Device Account",,8178171016,,sslocal,,,,,,,,,,
1369,1805,"laptop-windows for 1331 with Asset ID:",2408,laptop-windows,ADIWIN10-006,,,8KS31G2,N/A,N/A,,,600497116,,525547-571340-335808-013112-299475-368555-578996-705243,,N/A,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@adi01#l,"Windows 10 Pro",,,,N/A,Yes,,,,,vpn.insight.com:4433,,@adi01#t,,,,,T1gger2017,N/A,Adroit.local,"Active Directory on-premise only",,8322891266,,sslocal,,,,,,,,,,
1369,1808,"laptop-windows for 1331 with Asset ID:",2409,laptop-windows,ADI014,,,,NO,,,,,,564916-371305-263681-097449-368709-500720-350955-513579,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,,,,,,Harlequin1224,,Adroit.local,"Active Directory on-premise only",,4700930111,,,,,,,,,,,,
1369,1809,"laptop-windows for 1331 with Asset ID:",2410,laptop-windows,ADI016,,,,1.2,192.168.30.81,,,,,413952-001870-490776-329714-139359-002332-170291-554884,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,,,,,,Hereford1984,,Adroit.local,"Active Directory on-premise only",,5030286880,,,,,,,,,,,,
1369,1801,"laptop-windows for 1331 with Asset ID:",2411,laptop-windows,ADIWIN10-004,,,,,,,,198108799,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@adi01#l,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4434,,@adi01#t,,,,,Boris2599,,Adroit.local,"Active Directory on-premise only",,,,sslocal,,,,,,,,,,
1369,1801,"laptop-windows for 1331 with Asset ID:",2412,laptop-windows,ADIWIN10-019,,,,2,,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,,,,,,,,,,,,@adi01#l,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4434,,,,,,,Boris2599,,,,,,,sslocal,,,,,,,,,,
1369,1807,"laptop-windows for 1331 with Asset ID:",2413,laptop-windows,ADI017,,,,1.2,192.168.30.84,,,,,561286-341869-370051-406263-498234-172425-082357-461516,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,,,,,,Phoen1x,,Adroit.local,"Active Directory on-premise only",,955402954,,,,,,,,,,,,
1369,1802,"laptop-windows for 1331 with Asset ID:",2414,laptop-windows,ADI018,,,,Yes,,,,,,633182-369281-309628-205854-061765-326546-392832-318934,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,,,,,,N0tquite57&,,Adroit.local,"Active Directory on-premise only",,1852409038,,,,,,,,,,,,
1369,1816,"firewall for 1331 with Asset ID:",2415,firewall,0017C5AF7B28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noo,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"firewall for 1331 with Asset ID:",2416,firewall,18B16971F004,,,Dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2417,server,ADI2K12-BACKUP,,,,,192.168.30.15,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows Server 2012 R2",,,,,Yes,,,,,,,,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2418,server,ADI2K12-PROD01,,,,,192.168.30.14,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows Server 2012 R2",,,,,Yes,,,,,,,,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,
1369,1800,"laptop-windows for 1331 with Asset ID:",2419,laptop-windows,ADIWIN10-003,,,,2,,,,327925495,,008910-560307-620389-463067-708884-235741-084447-630949,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,Jester01,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,@Jester01,,,,Sub1aru,Sub1aru,,Adroit.local,"Active Directory on-premise only",,69853075,,ss_admin,,,,,,,,,,
1369,1816,"workstation-windows for 1331 with Asset ID:",2420,workstation-windows,ADIWIN10-009,,,,,,,,633341837,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@Adi01#l,"Windows 10 Pro",,,,,Yes,,,,,vpn.insight.com:4433,,@adi01#t,,,,,,,Adroit.local,"Active Directory on-premise only",,,,sslocal,,,,,,,,,,
1369,1816,"printer for 1331 with Asset ID:",2421,printer,,,,,,192.168.30.11,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,N/A,,,,,Yes,,,,,,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,
1369,1816,"server for 1331 with Asset ID:",2422,server,DOMAIN001,,,,,192.168.30.10,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,"Windows Server 2008 R2",,,,,Yes,,,,,,,,,,,,,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2423,laptop-windows,,,,,,192.168.1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noo,,,,,,,,,,,,"Windows 10 Pro",,,,,Yes,,,,,,,,,,,,,,Local,"Local Device Account",,,,,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2424,laptop-windows,,,,,,,,,743597077,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@adi01#l,"Windows 10 Pro",,,,,,,,,,,,@adi01#t,,,Floyd,Kinder1463,,,Local,"Local Device Account",,,,sslocal,,,,,,,,,,
1369,1816,"printer for 1331 with Asset ID:",2425,printer,,,"hp color LaserJet 5550",,,192.168.30.20,,,,,,,,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,N/A,,,,,Yes,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,
1369,1812,"laptop-mac for 1331 with Asset ID:",2426,laptop-mac,Marilyns-MBP.home,,,,,,,,,,BTVP-ALAY-G5ER-6DM2-9K39-22LU,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@Adi01#l,N/A,,,,,No,,,,,vpn.insight.com:4433,,,,,Mtran,Wednesday01,Monday2018,,Adroit.local,"Active Directory on-premise only",,,,sslocal,,,,,,,,,,
1369,1816,"laptop-windows for 1331 with Asset ID:",2427,laptop-windows,,,,,Disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,Jester01,N/A,,,,,Yes,,,,,,,,,,,,,,,,,,,ss_admin,,,,,,,,,,
1369,1806,"laptop-mac for 1331 with Asset ID:",2428,laptop-mac,NATHANS-MACBOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stolen / Inactive",,,,,,,,,,,,"Windows 10 Pro",,,,,,,,,,,,,,,,,Kelsey2002,,Adroit.local,"Active Directory on-premise only",,,,,,,,,,,,,,
1369,1816,"access-point for 1331 with Asset ID:",2429,access-point,ap1,,,Dddf,,192.168.30.66,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,"SSID = ADI_GUEST
 SSID = ADI_SECURE","Internet2016
 Q8%De3!Sc",,,N/A,N/A,,,,,,,,,,,,,,
1369,1816,"access-point for 1331 with Asset ID:",2430,access-point,b,,,,,192.168.30.61,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"access-point for 1331 with Asset ID:",2431,access-point,c,,,,,192.168.30.67,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,1816,"access-point for 1331 with Asset ID:",2432,access-point,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,N/A,,,,,No,,,,,,,,,,www.cloudtrax.com,,,,,,,,,,,,,,,,,,,
1369,1816,"access-point for 1331 with Asset ID:",2433,access-point,e,,,165233344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,N/A,,,,,No,,,,,,,,,,www.cloudtrax.com,,,,,,,,,,,,,,,,,,,
1369,1816,"access-point for 1331 with Asset ID:",2434,access-point,e,,,165233118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,,N/A,,,,,No,,,,,,,,,,www.cloudtrax.com,,,,,,,,,,,,,,,,,,,
1369,1811,"laptop-windows for 1331 with Asset ID:",2435,laptop-windows,ADIWIN10-008,,,GRVC2G2,N/A,N/A,,,599631741,,433708-133089-534424-493702-118426-214225-157300-193864,,N/A,,,,,Proffessional,,,,,,,,,,,,,,,,,Live,,,,,,,,,,,@adi01#l,"Windows 10 Pro",,,,N/A,Yes,,,,,vpn.insight.com:4433,,@adi01#t,,,,,N/A,N/A,Adroit.local,"Active Directory on-premise only",,N/A,,sslocal,,,,,,,,,,
